text,label
"Your account has been blocked please share your OTP immediately",1
"Aapka account band ho gaya hai abhi OTP share karo",1
"Congratulations you have won 50 lakh rupees in our lucky draw",1
"Sir aapka KYC incomplete hai turant update karo nahi toh account freeze ho jayega",1
"This is from SBI bank your debit card has been compromised share card number",1
"Aapke naam pe ek parcel hai jisme drugs mile hai abhi payment karo",1
"I am calling from cyber crime department your Aadhaar is misused pay fine now",1
"Your UPI ID has been blocked verify by sharing your PIN",1
"Urgent aapka electricity connection 2 ghante mein kaat diya jayega bill pay karo",1
"Send 500 rupees on this number to activate your prize money",1
"Aapka loan approved ho gaya hai sirf processing fee bhejo",1
"Your mobile number will be deactivated today share OTP to continue",1
"I am from Amazon your order refund is ready share bank account details",1
"Aapne ek scam website visit kiya hai police complaint darj ho gayi hai settlement karo",1
"Transfer 2000 rupees to avoid arrest warrant against your name",1
"Your Google pay account has unusual activity verify with OTP",1
"Aapko ek crore lottery mili hai fee bharo claim karo",1
"Sir your income tax refund is pending give account number for immediate credit",1
"Aapka Aadhaar card kisi aur ne use kiya hai turant verify karo OTP se",1
"This call is recorded you are under investigation pay immediately",1
"Your Netflix account password needs to be reset share the OTP we sent",1
"Aapke account mein suspicious activity detect hui hai sare paise transfer karo safe account mein",1
"Share your ATM PIN to get cashback offer activated",1
"Mera naam Rahul hai CBI se bol raha hun aap arrested honge agar payment nahi ki",1
"Your EMI is overdue pay now or your CIBIL score will be destroyed",1
"Aapka paisa double ho jayega sirf UPI par bhejo",1
"Free iPhone mil rahi hai sirf registration fee bharo",1
"Your SIM card will be blocked in 2 hours call us back with OTP",1
"Aapka Jio number band hoga recharge nahi hua aaj OTP share karo",1
"Send gift card codes to release your Amazon prize",1
"Aapke ghar pe CBI raid hogi agar abhi payment nahi ki",1
"Your credit card limit will increase share CVV for verification",1
"Bhai ek kaam kar mujhe 1000 ka recharge karwa de baad mein de dunga",1
"Your account will be closed permanently share all details now",1
"Aapne kisi ko call kiya tha jo blacklist mein hai FIR ho sakti hai settlement karo",1
"Investment mein 100 percent return guaranteed abhi paise bhejo",1
"Your bank account has been flagged share transaction PIN to clear it",1
"Aapka PAN card suspend ho gaya income tax ne notice bheja hai pay karo",1
"Congratulations your name selected in government scheme pay processing fee",1
"This is last warning pay Rs 5000 to avoid legal action immediately",1
"Aapke phone pe virus hai remote access do abhi theek karte hai",1
"Your WhatsApp account has been hacked share OTP to recover it",1
"Ek minute mein paisa transfer nahi kiya toh warrant issue ho jayega",1
"Your Aadhaar linked mobile number change request received share OTP to cancel",1
"Sir aap RBI helpline se bol rahe hain aapka account mein fraud hua hai",1
"You are selected for government job pay security deposit first",1
"Aapka insurance claim approved hai bank details do immediately",1
"Share your full name DOB and account number for KYC update",1
"Aapne galti se mujhe paise bhej diye please wapas karo",1
"Your phone has been hacked pay to fix it now",1
"Ek baar OTP share karo bas aapka account safe ho jayega",1
"Police mein complaint darj ho gayi hai aapke naam pe drugs case",1
"Your driving license has been suspended pay challan online now immediately",1
"Aapka bada prize nikla hai government scheme mein tax bharo pehle",1
"This is TRAI your mobile service will be stopped share details",1
"Paisa double karne ki guarantee hai sirf phonepe pe bhejo",1
"Your electricity meter will be replaced pay installation charge now",1
"Aapka ghar register nahi hua payment karo abhi warna cancel",1
"Call center agent hun aapki problem solve karta hun account access do",1
"Your Paytm wallet is blocked verify by sharing wallet PIN",1
"Aapko job mili hai but pehle training fee bharo",1
"This is Microsoft your computer has virus give remote access",1
"Aapka account mein 15000 galti se aaye hain please wapas karo account number pe",1
"Send your Aadhaar front and back photo on WhatsApp for verification",1
"Aapke naam pe sim card illegal activities mein use ho raha hai",1
"Your parcel is held at customs pay clearance charges",1
"Aapne loan ke liye apply kiya tha approve ho gaya fee bharo",1
"Share screen with us to fix your internet banking issue",1
"Aapka gold loan approved hai 50000 ka sirf stamp duty bharo",1
"Ye last chance hai prize lene ka registration fee abhi bharo",1
"Your health insurance is expiring today renew now pay here",1
"Aapke bête ne accident kar diya police station mein hai paise bhejo",1
"Investment scheme hai 30 percent monthly return sirf 10000 se shuru karo",1
"Your voter ID has an error pay correction fee to fix online",1
"Aapke number se obscene calls gaye hain case darj hoga settlement karo",1
"Send Rs 999 for lifetime free data plan activated immediately",1
"Aapka bank account mein reward points expire ho rahe hain redeem karne ke liye OTP do",1
"You have been selected for free laptop scheme pay delivery charge",1
"Ye government approved scheme hai guaranteed return bharo paise",1
"Aapka mobile number lucky draw mein select hua prize collect karne ke liye fee bharo",1
"Your PF account has been compromised share details for safety",1
"Aapke naam pe fake documents use ho rahe hain immediately respond karo",1
